idioma_secreto,espanol
vivi taki vivi vife mivi nole zova,la niña no encuentra la médica joven
vivi mivi ribi sivi tore liba,la médica lee el jardinero grande
vivi gore ribi bene tore giki,la maestra lleva el jardinero azul
vivi taki ribi sivi kita liba zova,la niña no lee el músico grande
vivi taki ribi kote zoli giki,la niña lleva el perro verde
ribi kita ribi bene rori nibe zova,el músico no busca el niño azul
ribi kita vivi sivi dira giki zova,el músico no lleva la gata grande
ribi zoli ribi tore giki,el perro lleva el jardinero
ribi kita ribi toge zoli mibe zova,el músico no cuida el perro feliz
vivi dira ribi vife tore tole,la gata mira el jardinero joven
ribi tore ribi bene zoli mibe zova,el jardinero no cuida el perro azul
ribi tore ribi sivi kita mibe,el jardinero cuida el músico grande
ribi kita vivi vife taki nole zova,el músico no encuentra la niña joven
vivi taki vivi bene gore tole zova,la niña no mira la maestra azul
ribi tore vivi vife mivi nole,el jardinero encuentra la médica joven
vivi dira ribi kita tole,la gata mira el músico
vivi dira ribi toge kita liba,la gata lee el músico feliz
ribi kita vivi kote taki tole zova,el músico no mira la niña verde
vivi gore ribi vife zoli nibe,la maestra busca el perro joven
ribi kita ribi bene tore giki zova,el músico no lleva el jardinero azul
vivi taki ribi kote rori nibe zova,la niña no busca el niño verde
vivi mivi vivi vife taki giki,la médica lleva la niña joven
vivi gore vivi kote mivi mibe zova,la maestra no cuida la médica verde
vivi mivi vivi bene dira nole,la médica encuentra la gata azul
ribi tore ribi sivi kita mibe zova,el jardinero no cuida el músico grande
vivi mivi vivi vife gore liba zova,la médica no lee la maestra joven
ribi tore vivi kote gore tole zova,el jardinero no mira la maestra verde
vivi dira ribi sivi rori giki,la gata lleva el niño grande
vivi dira ribi tore tole zova,la gata no mira el jardinero
vivi gore ribi toge tore nole zova,la maestra no encuentra el jardinero feliz
vivi mivi vivi kote dira nibe,la médica busca la gata verde
vivi mivi ribi sivi rori nole,la médica encuentra el niño grande
vivi gore ribi sivi tore mibe zova,la maestra no cuida el jardinero grande
ribi tore vivi kote gore giki,el jardinero lleva la maestra verde
ribi rori ribi bene tore nole,el niño encuentra el jardinero azul
vivi taki vivi vife dira giki zova,la niña no lleva la gata joven
ribi zoli vivi toge dira giki,el perro lleva la gata feliz
ribi zoli ribi bene rori nibe,el perro busca el niño azul
ribi tore ribi kita liba,el jardinero lee el músico
ribi tore ribi toge rori nole,el jardinero encuentra el niño feliz
ribi zoli vivi sivi mivi giki,el perro lleva la médica grande
vivi mivi ribi vife zoli nibe,la médica busca el perro joven
vivi dira vivi toge mivi tole,la gata mira la médica feliz
ribi rori ribi zoli mibe,el niño cuida el perro
ribi rori vivi bene gore nibe zova,el niño no busca la maestra azul
ribi tore vivi vife mivi liba,el jardinero lee la médica joven
ribi kita vivi vife gore nole zova,el músico no encuentra la maestra joven
ribi tore ribi vife rori nibe zova,el jardinero no busca el niño joven
ribi tore vivi toge dira nibe,el jardinero busca la gata feliz
ribi rori vivi toge dira nibe zova,el niño no busca la gata feliz
ribi rori vivi bene mivi giki,el niño lleva la médica azul
vivi taki vivi vife dira mibe zova,la niña no cuida la gata joven
ribi tore ribi bene rori tole zova,el jardinero no mira el niño azul
vivi taki ribi toge rori mibe zova,la niña no cuida el niño feliz
vivi taki ribi kote rori nole,la niña encuentra el niño verde
vivi mivi ribi kote zoli nibe zova,la médica no busca el perro verde
vivi dira vivi vife taki mibe zova,la gata no cuida la niña joven
ribi kita vivi bene gore mibe,el músico cuida la maestra azul
vivi dira ribi sivi kita mibe zova,la gata no cuida el músico grande
vivi dira ribi vife zoli giki,la gata lleva el perro joven
ribi rori ribi sivi kita nole zova,el niño no encuentra el músico grande
vivi taki ribi toge rori tole,la niña mira el niño feliz
ribi rori vivi kote gore nole zova,el niño no encuentra la maestra verde
ribi kita vivi sivi dira nibe zova,el músico no busca la gata grande
vivi taki vivi dira liba,la niña lee la gata
ribi rori vivi sivi taki nibe,el niño busca la niña grande
ribi zoli vivi vife gore nibe,el perro busca la maestra joven
ribi rori ribi bene kita giki,el niño lleva el músico azul
ribi kita ribi tore liba zova,el músico no lee el jardinero
ribi rori vivi gore mibe zova,el niño no cuida la maestra
vivi gore ribi kita liba zova,la maestra no lee el músico
vivi mivi vivi vife dira nibe,la médica busca la gata joven
ribi kita ribi kote rori tole,el músico mira el niño verde
vivi mivi vivi dira tole,la médica mira la gata
vivi dira vivi kote gore giki,la gata lleva la maestra verde
vivi gore ribi vife rori nibe zova,la maestra no busca el niño joven
vivi mivi vivi bene gore nibe zova,la médica no busca la maestra azul
vivi taki ribi bene rori giki zova,la niña no lleva el niño azul
ribi tore vivi vife dira tole,el jardinero mira la gata joven
ribi zoli vivi bene mivi liba zova,el perro no lee la médica azul
ribi kita ribi kote zoli mibe,el músico cuida el perro verde
ribi tore vivi kote mivi tole zova,el jardinero no mira la médica verde
ribi zoli vivi bene gore tole,el perro mira la maestra azul
ribi kita ribi bene zoli nole zova,el músico no encuentra el perro azul
ribi zoli vivi vife dira mibe zova,el perro no cuida la gata joven
vivi mivi ribi kote tore nibe,la médica busca el jardinero verde
ribi rori ribi sivi kita nibe zova,el niño no busca el músico grande
ribi kita vivi bene mivi nibe,el músico busca la médica azul
ribi kita ribi vife tore mibe,el músico cuida el jardinero joven
ribi tore ribi vife rori nole zova,el jardinero no encuentra el niño joven
vivi mivi ribi sivi kita liba zova,la médica no lee el músico grande
vivi dira vivi bene taki mibe zova,la gata no cuida la niña azul
ribi zoli vivi kote taki nibe zova,el perro no busca la niña verde
vivi taki ribi vife zoli nole zova,la niña no encuentra el perro joven
vivi gore ribi bene tore mibe zova,la maestra no cuida el jardinero azul
vivi taki ribi bene rori liba,la niña lee el niño azul
vivi dira ribi bene zoli nibe,la gata busca el perro azul
ribi zoli vivi sivi gore tole zova,el perro no mira la maestra grande
vivi taki ribi kote kita nole zova,la niña no encuentra el músico verde
vivi gore vivi bene dira nibe zova,la maestra no busca la gata azul
ribi rori ribi sivi zoli mibe zova,el niño no cuida el perro grande
vivi gore vivi vife mivi nibe zova,la maestra no busca la médica joven
ribi tore vivi toge taki liba zova,el jardinero no lee la niña feliz
vivi dira ribi toge tore giki,la gata lleva el jardinero feliz
vivi dira vivi kote gore giki zova,la gata no lleva la maestra verde
ribi zoli ribi kita nole,el perro encuentra el músico
ribi zoli ribi vife rori nole zova,el perro no encuentra el niño joven
vivi taki ribi kote kita liba zova,la niña no lee el músico verde
vivi taki vivi dira mibe,la niña cuida la gata
ribi rori vivi bene gore mibe,el niño cuida la maestra azul
ribi tore vivi toge dira giki,el jardinero lleva la gata feliz
ribi rori vivi kote gore tole,el niño mira la maestra verde
ribi zoli ribi toge tore mibe zova,el perro no cuida el jardinero feliz
vivi gore vivi sivi dira mibe zova,la maestra no cuida la gata grande
ribi tore vivi taki nole zova,el jardinero no encuentra la niña
ribi tore vivi bene taki mibe,el jardinero cuida la niña azul
vivi mivi ribi vife kita nibe,la médica busca el músico joven
vivi gore ribi tore nole,la maestra encuentra el jardinero
vivi dira ribi kote tore liba,la gata lee el jardinero verde
vivi taki ribi kita nibe,la niña busca el músico
vivi gore ribi zoli mibe,la maestra cuida el perro
vivi taki ribi kote zoli liba zova,la niña no lee el perro verde
ribi kita vivi vife mivi tole,el músico mira la médica joven
ribi zoli ribi kita tole,el perro mira el músico
vivi taki vivi toge dira nole,la niña encuentra la gata feliz
vivi dira ribi tore nibe zova,la gata no busca el jardinero
vivi taki vivi dira nole,la niña encuentra la gata
ribi kita ribi kote tore liba,el músico lee el jardinero verde
vivi dira vivi toge gore giki zova,la gata no lleva la maestra feliz
ribi tore ribi vife rori giki,el jardinero lleva el niño joven
vivi mivi vivi kote taki nibe zova,la médica no busca la niña verde
ribi zoli ribi sivi rori giki zova,el perro no lleva el niño grande
vivi gore ribi sivi kita liba,la maestra lee el músico grande
ribi zoli vivi bene gore liba zova,el perro no lee la maestra azul
ribi rori ribi bene kita tole zova,el niño no mira el músico azul
ribi kita ribi tore nole,el músico encuentra el jardinero
vivi taki ribi toge rori liba zova,la niña no lee el niño feliz
ribi kita ribi toge rori nibe zova,el músico no busca el niño feliz
vivi taki vivi toge dira giki zova,la niña no lleva la gata feliz
vivi mivi ribi vife tore nole,la médica encuentra el jardinero joven
ribi tore vivi bene taki tole,el jardinero mira la niña azul
vivi mivi ribi sivi kita tole,la médica mira el músico grande
vivi taki vivi bene mivi nole zova,la niña no encuentra la médica azul
ribi kita ribi sivi rori giki,el músico lleva el niño grande
vivi gore ribi bene tore tole zova,la maestra no mira el jardinero azul
vivi gore vivi vife taki tole,la maestra mira la niña joven
vivi taki vivi kote gore mibe,la niña cuida la maestra verde
ribi tore vivi bene taki giki zova,el jardinero no lleva la niña azul
vivi gore ribi kote zoli nibe,la maestra busca el perro verde
vivi mivi ribi sivi kita tole zova,la médica no mira el músico grande
ribi rori vivi toge mivi giki zova,el niño no lleva la médica feliz
ribi tore vivi kote gore nole zova,el jardinero no encuentra la maestra verde
vivi mivi vivi toge gore liba zova,la médica no lee la maestra feliz
ribi kita vivi bene gore tole zova,el músico no mira la maestra azul
ribi zoli vivi sivi taki nole zova,el perro no encuentra la niña grande
vivi gore ribi sivi zoli mibe,la maestra cuida el perro grande
vivi dira vivi vife taki giki zova,la gata no lleva la niña joven
vivi dira ribi bene rori mibe zova,la gata no cuida el niño azul
vivi mivi ribi vife tore tole zova,la médica no mira el jardinero joven
vivi dira ribi kote kita nole zova,la gata no encuentra el músico verde
ribi zoli vivi kote gore nibe,el perro busca la maestra verde
vivi gore vivi bene dira mibe,la maestra cuida la gata azul
vivi mivi ribi tore liba,la médica lee el jardinero
vivi mivi vivi vife gore nibe,la médica busca la maestra joven
ribi zoli ribi sivi tore mibe,el perro cuida el jardinero grande
ribi rori vivi mivi nole,el niño encuentra la médica
ribi tore vivi bene dira tole,el jardinero mira la gata azul
ribi rori vivi vife dira giki zova,el niño no lleva la gata joven
ribi kita ribi vife tore giki,el músico lleva el jardinero joven
vivi gore ribi toge kita nibe zova,la maestra no busca el músico feliz
vivi gore ribi vife tore mibe,la maestra cuida el jardinero joven
vivi gore ribi bene zoli liba zova,la maestra no lee el perro azul
vivi mivi vivi vife gore mibe,la médica cuida la maestra joven
vivi mivi ribi sivi tore mibe zova,la médica no cuida el jardinero grande
vivi gore ribi vife tore tole zova,la maestra no mira el jardinero joven
ribi zoli ribi sivi tore giki zova,el perro no lleva el jardinero grande
ribi tore vivi bene gore giki zova,el jardinero no lleva la maestra azul
ribi kita vivi kote gore liba,el músico lee la maestra verde
vivi dira vivi kote gore nibe,la gata busca la maestra verde
ribi kita vivi kote gore tole,el músico mira la maestra verde
vivi gore ribi vife kita mibe zova,la maestra no cuida el músico joven
vivi dira vivi toge taki nibe zova,la gata no busca la niña feliz
ribi zoli ribi vife tore mibe,el perro cuida el jardinero joven
vivi gore vivi bene mivi giki zova,la maestra no lleva la médica azul
vivi dira ribi sivi tore nibe,la gata busca el jardinero grande
vivi dira ribi kote zoli tole zova,la gata no mira el perro verde
vivi dira ribi sivi zoli tole,la gata mira el perro grande
ribi tore ribi sivi rori liba,el jardinero lee el niño grande
vivi dira vivi toge mivi nole zova,la gata no encuentra la médica feliz
vivi mivi ribi bene kita nibe,la médica busca el músico azul
vivi gore ribi vife zoli tole,la maestra mira el perro joven
vivi taki ribi bene tore giki,la niña lleva el jardinero azul
vivi dira ribi vife tore tole zova,la gata no mira el jardinero joven
vivi dira ribi kita giki,la gata lleva el músico
ribi rori vivi kote taki mibe zova,el niño no cuida la niña verde
vivi gore ribi kita nibe,la maestra busca el músico
vivi mivi ribi tore liba zova,la médica no lee el jardinero
ribi tore vivi mivi liba zova,el jardinero no lee la médica
ribi zoli vivi vife dira liba zova,el perro no lee la gata joven
ribi rori vivi sivi taki nibe zova,el niño no busca la niña grande
vivi taki ribi toge rori giki zova,la niña no lleva el niño feliz
vivi taki vivi bene gore nole zova,la niña no encuentra la maestra azul
ribi kita ribi vife rori tole,el músico mira el niño joven
vivi taki ribi bene tore tole zova,la niña no mira el jardinero azul
ribi zoli ribi sivi tore giki,el perro lleva el jardinero grande
vivi taki vivi bene gore mibe,la niña cuida la maestra azul
ribi tore vivi vife taki mibe,el jardinero cuida la niña joven
vivi dira vivi vife taki tole,la gata mira la niña joven
vivi dira vivi kote gore nole,la gata encuentra la maestra verde
vivi mivi ribi toge kita nibe,la médica busca el músico feliz
ribi rori ribi sivi tore tole,el niño mira el jardinero grande
ribi kita ribi kote rori liba zova,el músico no lee el niño verde
vivi gore ribi vife kita nole,la maestra encuentra el músico joven
vivi taki ribi tore liba,la niña lee el jardinero
ribi rori ribi bene zoli nibe zova,el niño no busca el perro azul
vivi taki vivi sivi mivi nibe,la niña busca la médica grande
ribi kita vivi toge taki liba zova,el músico no lee la niña feliz
vivi mivi ribi kote rori liba,la médica lee el niño verde
ribi rori vivi kote gore giki,el niño lleva la maestra verde
vivi taki ribi vife tore nole zova,la niña no encuentra el jardinero joven
ribi rori vivi kote dira mibe,el niño cuida la gata verde
vivi mivi ribi kita liba,la médica lee el músico
ribi zoli ribi kita nibe zova,el perro no busca el músico
vivi taki ribi sivi kita giki zova,la niña no lleva el músico grande
vivi mivi ribi vife zoli liba,la médica lee el perro joven
vivi dira ribi toge zoli nibe,la gata busca el perro feliz
vivi dira ribi kote tore mibe,la gata cuida el jardinero verde
vivi gore ribi kote kita nibe,la maestra busca el músico verde
ribi rori vivi gore giki,el niño lleva la maestra
vivi taki vivi gore nibe,la niña busca la maestra
vivi gore vivi vife dira liba,la maestra lee la gata joven
ribi rori vivi kote dira mibe zova,el niño no cuida la gata verde
vivi gore vivi toge taki nibe zova,la maestra no busca la niña feliz
vivi dira ribi vife kita nole,la gata encuentra el músico joven
ribi tore vivi bene mivi tole,el jardinero mira la médica azul
ribi zoli vivi mivi tole zova,el perro no mira la médica
vivi dira ribi kote rori tole zova,la gata no mira el niño verde
ribi rori ribi vife kita nibe zova,el niño no busca el músico joven
vivi mivi vivi gore giki,la médica lleva la maestra
ribi tore vivi sivi taki nole zova,el jardinero no encuentra la niña grande
ribi kita vivi gore tole zova,el músico no mira la maestra
vivi dira vivi sivi mivi tole zova,la gata no mira la médica grande
vivi taki vivi mivi nibe zova,la niña no busca la médica
vivi taki ribi sivi kita nole,la niña encuentra el músico grande
ribi zoli vivi bene gore nole zova,el perro no encuentra la maestra azul
ribi tore vivi sivi mivi tole,el jardinero mira la médica grande
ribi rori vivi sivi mivi tole,el niño mira la médica grande
vivi dira ribi kote tore mibe zova,la gata no cuida el jardinero verde
ribi tore vivi kote mivi mibe zova,el jardinero no cuida la médica verde
vivi taki vivi kote gore nole zova,la niña no encuentra la maestra verde
ribi zoli vivi vife mivi nole,el perro encuentra la médica joven
